zip,neighborhood,price,period,type,beds,baths,parking,description
96815,Waikiki,"$1,095 ",Month,Apartment/Coop/Loft,,,,"TRADEWINDS PLAZA Sec. studio, strict house rules, prkg, $1095 Amber Properties 262-6788 More Details"
96826,Moiliili,"$1,050 ",Month,Apartment/Coop/Loft,1,1,,"HAUSTEN 1/1 Refurbished! Washer/Dryer $1,050 731.byGuy.com, 561-4638 EM Int'l Realty Corp. More Details"
96815,Kaimuki/kapahulu,"$1,050 ",Month,Apartment/Coop/Loft,2,1,,CLEAN 2BD/1BA. NEAR SAFEWAY. $1050 + UTIL. NO PKG/PETS. LANDLORD REF REQ'D. 225-3376 More Details
96813,Kapiolani,"$1,000 ",Month,Apartment/Coop/Loft,1,1,1,"Regency Twrs 0/1/1, w/d, view, on bus, sec, gst prkg, amens., $975. 779-6466 waikikirealty2.com More Details"
96813,Kapiolani,"$1,000 ",Month,Apartment/Coop/Loft,1,1,,Kapiolani Terrace very clean studio. prkg. no pets. $1000 + elec. 621-2500 UR SVCS. More Details
96826,Mccully,$990 ,Month,Apartment/Coop/Loft,1,1,1,"1/1/1 YOUNG ST. $990 sec, water/gas, no pets 841-0177 M-F, 8-4 or 941-9188 wknd/eve More Details"
96701,Aiea,$990 ,Month,Apartment/Coop/Loft,1,1,1,"White Pearl 1/1/1 Clean Across Pearlridge. Nr bus, no pets $990/mo. Sewer & water incl. 689-5000 More Details"
96815,Kaimuki/kapahulu,$975 ,Month,Apartment/Coop/Loft,1,1,1,"SUPER Clean 1/1/1 Cvrd parking, coin W/D, No pets/smkg $975 wtr incl. 261-3407 lv. msg. More Details"
96822,Makiki,$950 ,Month,Apartment/Coop/Loft,1,1,1,"1/1/1 LUNALILO ST $950 no pets Incl water gas 841-0177 M-F, 8-4 or 538-6426 wknd/eve More Details"
96826,Mccully,$950 ,Month,Apartment/Coop/Loft,1,1,1,"1/1/1 Ground flr, washer & wtr incld. No smkg. Pets nego. Avail Now. $950. 839-2270/286-3486 More Details"
96815,Waikiki,$950 ,Month,Apartment/Coop/Loft,0,1,,"PACIFIC Islander Studios, Remod, lanai, $950-$1000 utils incl, Claude Sayf (RA) 722-0762 Nagwa Saas (R) More Details"
96815,Kaimuki/kapahulu,$950 ,Month,Apartment/Coop/Loft,1,1,1,"Date and Kapahulu 1/1/1- AC, New Refrig/ flrg/paint, no pets. $950. Call after 1pm 737-3075 More Details"
96815,Kaimuki/kapahulu,$950 ,Month,Apartment/Coop/Loft,1,1,,"1BD/1BA Convenient! Near UH/bus/shops. Ceiling Fan, In good condition! $950. 734-2341 More Details"
96826,Mccully,$900 ,Month,Apartment/Coop/Loft,1,1,,"1749-5 FERN ST. Large 1bd/1ba/1cvrd prkg, No smkg/pets, Washer. $900 286-2171/671-1183 More Details"
96797,Waipahu,$900 ,Month,Apartment/Coop/Loft,1,1,,"1BD/1BA Nr bus, shops, school. 94-111 Pupupuhi St. $900 + Deposit 456-3883/286-2815 More Details"
96706,Ewa,$900 ,Month,Apartment/Coop/Loft,2,1,1,"Ewa Seaside 2/1/1 incl range /refrig $900 + utils. Hawaiian Properties, Ltd Ph: 539-9780 More Details"
96816,Kaimuki,$895 ,Month,Apartment/Coop/Loft,1,1,1,"1BD/1BA/1PKG Quiet, good location, clean, no pets/smkg $895 Call: 927-4989 More Details"
96819,Kalihi,$895 ,Month,Apartment/Coop/Loft,1,1,1,"Nice clean 1/1/1, 1628 Kahai St. Recently renov tile flrs & cabs. $895 Call Kenneth 377-5799 More Details"
96822,Makiki,$850 ,Month,Apartment/Coop/Loft,1,1,1,"Liholiho St. 1/1/1 Duplex, 2nd Flr, No pets. $850. Professional Island MGMT. 526-3020. More Details"
96786,Wahiawa,$850 ,Month,Apartment/Coop/Loft,1,1,,LAKEVIEW SUPER 1/1 Available now! $850 Carlton Chang (R) 735-3700 More Details
96822,Makiki,$810 ,Month,Apartment/Coop/Loft,1,1,,1Br $810 + elec. 1 prk. Applicant must qualify under affordable housing req. Lau & Lau Properties 951-5151 More Details
96744,Kaneohe,$800 ,Month,Rooms For Rent,1,0,,"KANEOHE- Haiku 1 Spacious room, upstairs, ocean view, shared bath, kitchen & living room. $800. 393-8953 More Details"
96817,Liliha,$750 ,Month,Rooms For Rent,1,0,,Available immediately! Liliha-Dwnstrs private rm w/separate entrance. Shared bath/kit/living area. No pet/smkg. Prkg avail & utils incl. $750 plus deposit. 675-1267 More Details
96701,Aiea,$650 ,Month,Rooms For Rent,1,0,,"Lrg Rm in Aiea- Share bath & lvng rm, male pref'd. incld utils. $650 455-9530 or 497-9212 More Details"
96706,Ewa,$625 ,Month,Rooms For Rent,1,1,,"EWA BEACH- Furnished, private bath. TV, W/D, pkg shared kitchen. Near bus. $625+deposit. 728-4024 More Details"
96797,Waipahu,$600 ,Month,Wanted,,,,1 big bedroom for rent w/ lanai! Shared bath & kitchen.$600 + deposit incl utils. 678-8124 More Details
96701,Aiea,$600 ,Month,Wanted,1,0,,"1BD in 4BD AIEA condo W/D, Cable/TV, Pool, Phone, Bus, $600 + $400 deposit. Utils Incl'd Male pref. 'd Call: 778-7724 More Details"
96707,Kapolei,$550 ,Month,Wanted,1,1,,"KAPOLEI 1 Room avail. share house w/ 3 other working rm mates in a 4 bdrm house, $550/mo, incld's utils, very clean & quiet. Call 349-0439 More Details"
96815,Kaimuki/kapahulu,$425 ,Month,Wanted,1,0,,"KAPAHULU 1 Bdrm, single person preferred. Convenient location, $425. 220-2420 More Details"
96813,Kapiolani,"$1,900 ",,Apartment/Coop/Loft,2,1,,"Iolani Regent 2/1, 2 tandem prkg, secured $1900 Solid Foundation, R.E.C. David Mayeda,R 225-8830 More Details"
96813,Kapiolani,"$2,000 ",,Apartment/Coop/Loft,,,2,"Kapiolani Blvd. 2 bdrm 2 bath, 2 prkg + den, $2000. Central air, w/d. No smkg. No pets. Sunny Isles Prop. 942-7152 More Details"
96750,Kealakekua,"$1,125 ",,Apartment/Coop/Loft,2,1,1,"2/1/1 Nr shops, schools & bus. Villages of Kapolei. $1125 includes water. Income limits. HAPI 692-7292 More Details"
96822,Manoa,$975 ,,Apartment/Coop/Loft,1,1,1,"Breezy clean 1/1/1 prkg, wood like flrs, a/c, lanai, c-fan, sec entry $975 Urban Real Estate 942-3669 More Details"
96822,Makiki,$950 ,,Apartment/Coop/Loft,8,3,,"Convenient Clean 1 bed, 1 bath, prkg, water/sewer $950. KFG Properties, Inc. 456-8188/383-7986 More Details"
96826,Honolulu,"$1,100 ",,Apartment/Coop/Loft,1,1,1,"Wilder nr Punahou lrg 1/1/1, new flrs, lanai, on busline. No Sect. 8/pets. 779-6466 $1100. waikikirealty2.com More Details"
96822,Makiki,"$1,015 ",,Apartment/Coop/Loft,1,1,5,"Kewalo (1525) 1/1 $1015 2/1 $1345 Prkg water lndry, pool, no pets King Street Properties 721-2040, 791-5591 More Details"
96822,Makiki,"$1,595 ",,Apartment/Coop/Loft,2,1.5,1,"Makiki Towers 2/1.5/1 Newly Renov. w/d, pool, Avail now. $1595 Hawaiian Properties 539-9772 More Details"
96814,Honolulu,"$1,175 ",,Apartment/Coop/Loft,1,1,1,"Elms 1/1/1 upgraded w/d, $1175. Avail 10/13. B.Y. Realty Management & Sales, 591-2941. More Details"
96822,Makiki,"$1,345 ",,Apartment/Coop/Loft,2,1,5,"Nehoa (1519) 2/1 grnd fl. $1345 prkg wtr, lndry, no pets lse King Street Properties 721-2040, 791-5591 More Details"
96814,Honolulu,"$2,300 ",,Apartment/Coop/Loft,2,2,2,"Makiki Park Pl. 2/2/2, pool, sec'd, W/D, A/C, incl. utils $2300 Pacific Rlty Group 957-0776 More Details"
96822,Makiki,$950 ,,Apartment/Coop/Loft,1,1,,"Hassinger 1bd+den/1/1, 2nd flr walkup, coin laundry, no pets $950+utils Corwin & Assoc. 955-8886 More Details"
96822,Makiki,"$1,650 ",,Apartment/Coop/Loft,2,2,1,"1111 Wilder 2/2/1 wd, dw, cvrd lanai. $1650 incl hot water. Cornerstone Properties, 484-1211 More Details"
96822,Makiki,$830 ,,Apartment/Coop/Loft,,,1,"Spencer St. clean studio/1 1 prkg, 2nd flr walkup, remod, coin w/d, no pets, $830 Jeffrey Pang(B) 734-1266 More Details"
96822,Makiki,"$1,200 ",,Apartment/Coop/Loft,2,1,2,"1328 Kinau 2/1/2, grnd flr end unit, $1200 incl water. No pets/No smoking. THINC Real Estate 551-6152 More Details"
96822,Makiki,"$1,250 ",,Apartment/Coop/Loft,2,1,,"Cool breezy 1510 Thurston lge 2/1, elect. sep., on the busline. Street prkg. $1250 ILC Int'l, Inc. 941-9925 More Details"
96701,Aiea,"$1,105 ",,Apartment/Coop/Loft,,,1,"Cool 1330 Wilder Ave, 1bdrm/1prkg, pool, $1105 488-1070, 583-1556 VM Shirley Onishi Realtor, LLC More Details"
96825,Honolulu,,,Single Family,,,,"HAWAII KAI SPECIALIST South Shore Realty Diane Sagucio, PB, R 808-395-6225 More Details"
96822,Makiki,"$1,400 ",,Apartment/Coop/Loft,1,1.5,2,"PRINCESS K 1/1.5/2 pkg, d/w, a/c, w/d, lanai, $1400 Island Mgmt 734-5224 More Details"
96814,Honolulu,,,Single Family,,,,Personalized Team Mgmt Management Packet Hotline More Details
96815,Honolulu,,,Single Family,,,,"Personalized&Professional Svc Long term Rental Management Hawaiian Relocation, Inc. www.relohi.com 979-2800 More Details"
96822,Makiki,$975 ,,Apartment/Coop/Loft,,,,"Kewalo St. 2 bdrm, 1 bath, street parking. $975/mo. Young Properties Inc. 596-8777 More Details"
96814,Honolulu,"$1,650 ",,Apartment/Coop/Loft,2,2,2,1450 Young clean 2/2/2 Ideal Loc across Foodland $1650 Avail now B.Y. Realty Mgmt/Sales 591-2941 More Details
96817,Nuuanu,"$1,500 ",,Single Family,3,1,,"Lower Nuuanu-3/1 cottage, clean, new carpet, tandem cov'd prkg. No yard space. $1500 Earl S. Mente Realtors 942-9666 More Details"
96817,Nuuanu,"$1,150 ",,Single Family,1,1,2,"1/1/2 split lvl cottage, appl carpet, lanai, clean, conv quiet $1150 Tom Shinsato Realty, 537-2442 x364. More Details"
96822,Makiki,"$1,450 ",,Apartment/Coop/Loft,2,1,1,"1702 Kewalo St. 2/1/1 recently renovated, w/d in unit, locked lobby, pool. $1450 Call: 988-4802 More Details"
96822,Makiki,$950 ,,Apartment/Coop/Loft,,,,"1 & 2 bdrms, prkg, conv., cool, coin-op, clean, from $950. Tom Shinsato Realty, 537-2442 x292. More Details"
96817,Nuuanu,"$2,195 ",,Single Family,3,1.5,,"PUUNUI 3/1.5/tandem, remodeled duplex w/bonus cottage, W/D #6395 $2195 More Details"
96822,Makiki,"$1,275 ",,Apartment/Coop/Loft,1,1,1,"KEALOHA ARMS 1/1/1 just remodeled, W/D, lanai, pool #5794 $1275 WILDER @ PIIKOI 1/1/1 exec PH, sec, W/D, encl lanai, pool, bamboo flr, view #5793 $1645 More Details"
96817,Nuuanu,"$1,425 ",,Single Family,1,5-Jan,,"1bdrm/1.5ba Cottage by stream, about 900 sq. ft. $1425 plus utilities. Call 729-2544 More Details"
96815,Honolulu,"$2,000 ",,Apartment/Coop/Loft,1,1,1,"Admiral Thomas 1/1/1 prk upgraded spacious nice unit $2000 + tax. Hawaiian Joy, 923-1880 More Details"
96822,Punahou,$575 ,,Rooms For Rent,,,,"Punahou 1572 Nehoa, st. prkg., female $575. 1585 Thurston, male $565. Incl utils. Diamond Int'l. 955-3037 More Details"
96822,Makiki,"$1,100 ",,Apartment/Coop/Loft,2,1,1,"Anapuni 2/1/1 $1,100 incl. water Newtown Rlty 593-0709 More Details"
96701,Aiea,"$1,975 ",,Single Family,3,2,,"Clean large duplex 3/2, patio, fenced, wtr, sewer, hot wtr incl $1975. Helen Bench Realty 488-7776 More Details"
96707,Kapolei,$550 ,,Rooms For Rent,1,1,1,"Room for Rent in Kapolei Non-Smoker pref'd,master BD,own BR,1 Pkg, utl incl. Avail 11/01. $550+dep. 703-593-3916. More Details"
96823,HI 96823,$850 ,,Apartment/Coop/Loft,1,1,1,"1038 Spencer 1/1/1 a/c, ceiling fan, coin-op w/d, walk up bldg $850. Prudential Locations, LLC. 738-3108 More Details"
96816,Pearl City,"$1,650 ",,Single Family,3,2,2,"Clean Palekaiko St. Duplex 3/2/2pk, pvt entry, yd,patio,mt vw,no pet $1650 Jeffrey Pang (R) 732-1266 More Details"
96786,Wahiawa,"$2,100 ",,Single Family,3,3,2,"Kalie St. 3/3/2 yd w/svc 2lvl spac cool renov appl crpts $2100 Tom Shinsato Realty, 537-2442 x363. More Details"
96701,Aiea,$480 ,,Rooms For Rent,,,,"Aiea acrss Pearlridge Ctr, master bdrm/bath, nr bus, no laundry/kit, $480+dep. Prof male pref. 486-9801 More Details"
96786,Wahiawa,"$1,600 ",,Single Family,3,1.5,,"Iliwai Dr. very clean 3/1.5 corner lot, yard service. No pets. $1600 621-2500 UR SVCS. More Details"
96819,Kalihi,$550 ,,Rooms For Rent,6,3,,"1BD Avail. - Gulick Ave. $550 + Dep., Incl. Utils, Near Bus & shopping. 383-9436/382-1818 More Details"
96822,Makiki,"$1,025 ",,Apartment/Coop/Loft,1,1,1,"Heulu 1/1/1, incl utils, 3rd flr, lanai, $1025. The Realty Co., Ltd. 550-8827 More Details"
96786,Wahiawa,"$1,000 ",,Single Family,2,1,,"Clean 2/1, no smoking/ no pets, yard, convenient, quiet and cool, $1000. Alae Realty Ltd, 247-5848 More Details"
96707,Makakilo,$680 ,,Rooms For Rent,,,,"2 Rooms with full bath each, incl utils $680 and up. Call: 783-5880 for more information. More Details"
96822,Makiki,$750 ,,Apartment/Coop/Loft,,,,"Kewalo Studio, full kitchen, $750. No smkg. No pets. Sunny Isles Prop 942-7152 More Details"
96814,Honolulu,"$4,200 ",,Single Family,4,4,2,"Alaweo St. 4/4/2, pool, hot tub, yard svc incl. Ocean, DH vws, large home $4200 Pacific Rlty Group 957-0776 More Details"
96814,Honolulu,$925 ,,Apartment/Coop/Loft,1,2,,"Ward Kinau Studio w/pkg Tile, clean-move in $925 Avail 11/2. B.Y Realty Mgmt & Sales 591-2941 More Details"
96792,Waianae Coast,"$1,300 ",,Single Family,3,1,,"Makaha renovated 3/1 incl wtr/sewer, $1,300 The Realty Co., Ltd. 550-8827 More Details"
96825,Hawaii Kai,$850 ,,Rooms For Rent,,,,"Hawaii Kai Quiet, prkg, no smkg perf'd, private bthrm, pool, $850 incl util deposit req'd 398-6980 More Details"
96792,Waianae Coast,"$1,200 ",,Single Family,2,1,,"Private 2/1, water, fenced yard $1,200 KFG Properties, Inc. 456-8188, 383-7986 More Details"
96822,Manoa,"$1,200 ",,Apartment/Coop/Loft,2,1,1,"Clean 2/1/1 parking, ground floor, small yard, W/D, C-fan $1200 Urban Real Estate 944-5101 More Details"
96792,Waianae Coast,"$1,200 ",,Single Family,2,1,2,"Maili 2/1/2. No pets. Includes water/sewer. $1,200/mo. The Realty Company Ltd. 550-8827 More Details"
96815,Waikiki,$45 ,,Vacation Rentals,,,,"Largest selection Fully eqpt condos-Ilikai, Mnrch, Banyan, F. Villa, M. Surf, R. Kuhio $45+/day, $290+/wk HCRI 949-4505 hawaiicondo.com More Details"
96786,Wahiawa,"$1,050 ",,Apartment/Coop/Loft,2,1,,"University Special 2/1, Lanai, Near Bus, No pets. 2 units avail., $1050. Tsujimura&Assoc.622-2885 More Details"
96792,Waianae Coast,"$2,150 ",,Single Family,3,2.5,,"3/2.5 Ke Ola Pokai Bay Spacious newer home w/ bonus room, encl. garage on cul-de-sac. $2150. Kay Mukaigawa (R) Primary Prop. 479-9090 More Details"
96826,Honolulu,$65 ,,Vacation Rentals,,,1,"Waikiki Banyan, 1 bdrm/ 1bath/1prkg, avail now $65-$85/nightly. Sykes & Sykes Prop., 941-6672. More Details"
96822,Manoa,$950 ,,Apartment/Coop/Loft,1,1,1,"Clean convenient 1/1, 1 prkg, water $950. KFG Properties, Inc. 456-8188, 383-7986 More Details"
96816,Waialae,"$5,000 ",,Vacation Rentals,,,,"WAIALAE IKI 4 bdrm, 4 bath architect's home, split level w/pool & gorgeous ocean views. $5000/mo+tax Cathy George & Assoc 373-9844 More Details"
96815,Honolulu,"$1,800 ",,Vacation Rentals,1,1,1,"Chateau Waikiki/Banyan/ 2121 Ala Wai 1/1/1 prkg, ocn/mtn view, a/c, lanai, util incl. $1800-$2000+tax. Hawaiian Joy, 923-1880. More Details"
96701,Aiea,"$1,450 ",,Apartment/Coop/Loft,2,1,1,"2754 Kuilei St 2/1/1 close to UH, $1450 incl utils. 488-1070, 583-1556 VM Shirley Onishi Realtor, LLC. More Details"
