series_name,ds_id,ds_eval,current_data_points,dependencies_count,aremos_diffs,last_run,data_point_sha1,dependencies,first_date
YCAFAC@MAU.A,49550,"Series.load_from_download ""CA06N_MAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1801:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",12,0,0.0,2014-08-07 05:23:45 -1000,2efeea492ff79bbd69e057c98ad5b403e54c2190,"",2001-01-01
YCAGFFO@MAU.A,49530,"Series.load_from_download ""CA06N_MAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:100:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",0,0,,2014-08-07 05:24:11 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
YCAFFD@HON.A,49519,"Series.load_from_download ""CA06N_HON@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1802:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",12,0,0.0,2014-08-07 05:23:47 -1000,f2f3d971d5f2a710ca96bc11a5dfbe26d716a745,"",2001-01-01
YCAFAC@HON.A,49518,"Series.load_from_download ""CA06N_HON@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1801:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",12,0,0.0,2014-08-07 05:23:43 -1000,51ca560d979f0c94cd5834796a1bc725bd6bee05,"",2001-01-01
YCAGFFO@HON.A,49498,"Series.load_from_download ""CA06N_HON@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:100:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",12,0,,2014-08-07 05:24:09 -1000,4bcafc7fa8b769cb2b34089941b7fa0a57e1066c,"",2001-01-01
YCAGFFO@HI.A,49385,"Series.load_from_download ""SA06N_HI@bea.gov"", { :file_type => ""csv"", :start_date => ""1998-01-01"", :row => ""header_range:col:3:100:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",16,0,,2014-08-07 05:24:08 -1000,875f99102e2e0016759698ee8e18ee9c1757f43b,"",1998-01-01
YLAFFD@KAU.A,49346,"Series.load_from_download ""CA05N_KAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1802:6:142"", :col => ""increment:5:1"", :frequency => ""A"" }",6,0,0.0,2014-08-07 05:29:56 -1000,30f62521ad084a2a9fe38facf185dc447bd51338,"",2003-01-01
YLAFAC@KAU.A,49345,"Series.load_from_download ""CA05N_KAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1801:6:142"", :col => ""increment:5:1"", :frequency => ""A"" }",0,0,,2014-08-07 05:29:51 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
YLAFFD@HAW.A,49314,"Series.load_from_download ""CA05N_HAW@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1802:6:142"", :col => ""increment:5:1"", :frequency => ""A"" }",6,0,0.0,2014-08-07 05:29:53 -1000,4152da423bc3ee54e089b10d027e900793ab454f,"",2003-01-01
YLAFAC@HAW.A,49313,"Series.load_from_download ""CA05N_HAW@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1801:6:142"", :col => ""increment:5:1"", :frequency => ""A"" }",0,0,,2014-08-07 05:29:48 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
YLAFFD@MAU.A,49282,"Series.load_from_download ""CA05N_MAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1802:6:142"", :col => ""increment:5:1"", :frequency => ""A"" }",12,0,0.0,2014-08-07 05:29:57 -1000,c2376302ebce322000eb2c85b640a13db110dc60,"",2001-01-01
YLAFAC@MAU.A,49281,"Series.load_from_download ""CA05N_MAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1801:6:142"", :col => ""increment:5:1"", :frequency => ""A"" }",12,0,0.0,2014-08-07 05:29:52 -1000,066780d55540f1916586a0c30b5ec7aa4890356e,"",2001-01-01
YLAFFD@HON.A,49250,"Series.load_from_download ""CA05N_HON@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1802:6:142"", :col => ""increment:5:1"", :frequency => ""A"" }",12,0,0.0,2014-08-07 05:29:55 -1000,bc601bca09803d80d680366d8be9e774a2d445d2,"",2001-01-01
YLAFAC@HON.A,49249,"Series.load_from_download ""CA05N_HON@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1801:6:142"", :col => ""increment:5:1"", :frequency => ""A"" }",12,0,0.0,2014-08-07 05:29:50 -1000,80a9388e50807ec1f3bb7445a122849706cc086d,"",2001-01-01
NLCONNS@HON.M,49103,"""NLCONNS@HON.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hbr_detail_m.csv""",210,0,,2014-08-07 03:17:40 -1000,92100ee21498a3b9e66d45ffebddc8b1ecd43b29,"",1997-01-01
NLSGFNS@HON.M,49102,"""NLSGFNS@HON.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hbr_detail_m.csv""",210,0,,2014-08-07 03:17:40 -1000,b57409425238cb5f0cc938cdee2546fc27d8628b,"",1997-01-01
MINVCONNS@HON.M,49101,"""MINVCONNS@HON.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hbr_detail_m.csv""",222,0,,2014-08-07 03:11:40 -1000,e4f8ceeb5c0ac988abb8e2f596982837e018622d,"",1996-01-01
MINVSGFNS@HON.M,49100,"""MINVSGFNS@HON.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hbr_detail_m.csv""",222,0,,2014-08-07 03:11:40 -1000,8124a1b55048928e0dee455adb77723d7aaec102,"",1996-01-01
DOMCONNS@HON.M,49099,"""DOMCONNS@HON.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hbr_detail_m.csv""",210,0,,2014-08-07 01:11:33 -1000,83e0feefb8c466d74a75b581f5c5ad4f355c94cd,"",1997-01-01
DOMSGFNS@MAU.M,49097,"""DOMSGFNS@MAU.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/mbr_upd_m.csv""",258,0,,2014-08-07 01:11:34 -1000,5579ee9759e93ad3fc5c4da899a3f593f1683647,"",1993-01-01
DOMCONNS@MAU.M,49096,"""DOMCONNS@MAU.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/mbr_upd_m.csv""",258,0,,2014-08-07 01:11:34 -1000,739f17840245a869ab343e4403062705d41794cd,"",1993-01-01
PMKBCONNS@KAU.M,49095,"""PMKBCONNS@KAU.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hiinfo_upd_m.csv""",87,0,,2014-08-07 03:25:30 -1000,1586d31b5ebef9c5e323e988a9b8e64b188fa7fe,"",2007-02-01
PMKBSGFNS@KAU.M,49094,"""PMKBSGFNS@KAU.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hiinfo_upd_m.csv""",87,0,,2014-08-07 03:25:36 -1000,65cd25e45af806b29e4721e7aba29404e84b4266,"",2007-02-01
KBCONNS@KAU.M,49093,"""KBCONNS@KAU.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hiinfo_upd_m.csv""",87,0,,2014-08-07 03:05:57 -1000,afc799de7fbf9fcdb9fc1c7ab8d0efad4f835e62,"",2007-02-01
KBSGFNS@KAU.M,49092,"""KBSGFNS@KAU.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hiinfo_upd_m.csv""",87,0,,2014-08-07 03:05:59 -1000,79cbcada45ea57e5b1428c7de891b16b0ac41173,"",2007-02-01
PMKBCONNS@HAW.M,49091,"""PMKBCONNS@HAW.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hiinfo_upd_m.csv""",87,0,,2014-08-07 03:25:30 -1000,daccc22252062d53fc9061448aca446729b79395,"",2007-02-01
PMKBSGFNS@HAW.M,49090,"""PMKBSGFNS@HAW.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hiinfo_upd_m.csv""",87,0,,2014-08-07 03:25:36 -1000,bd6ee3bd2c2c8ae45fd9b12a6ca424ef30105478,"",2007-02-01
KBCONNS@HAW.M,49089,"""KBCONNS@HAW.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hiinfo_upd_m.csv""",87,0,,2014-08-07 03:05:57 -1000,740bd12ddfa8a1eecd1e064876eeb26b341afbf9,"",2007-02-01
KBSGFNS@HAW.M,49088,"""KBSGFNS@HAW.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hiinfo_upd_m.csv""",87,0,,2014-08-07 03:05:59 -1000,4b6e2eee7fd1678452cac3559e59d39a97589cb1,"",2007-02-01
KPGOVNS@KAU.M,49087,"(""KPGOVNS@KAU.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/BIA_M.xls"")/1000",0,0,,2014-08-07 03:06:36 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
KPGOVNS@MAU.M,49086,"(""KPGOVNS@MAU.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/BIA_M.xls"")/1000",0,0,,2014-08-07 03:06:36 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
KPGVONNS@HAW.M,49085,"(""KPGVONNS@HAW.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/BIA_M.xls"")/1000",0,0,,2014-08-07 03:06:38 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
KPGOVNS@HON.M,49084,"(""KPGOVNS@HON.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/BIA_M.xls"")/1000",0,0,,2014-08-07 03:06:35 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
KPGOVNS@HI.M,49083,"(""KPGOVNS@HI.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/BIA_M.xls"")/1000",0,0,,2014-08-07 03:06:35 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
DOMSGFNS@HON.M,49098,"""DOMSGFNS@HON.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/hbr_detail_m.csv""",210,0,,2014-08-07 01:11:34 -1000,f1d26e55bd85bc61d6309cc4a022f5801c18972d,"",1997-01-01
VSOTACHNS@KAU.M,49079,"(""VSOTACHNS@KAU.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",60,0,,2014-07-28 04:14:08 -1000,8a0645f14913976173c87b22582d198c8d5ae302,"",2007-01-01
VSITCHTNS@HAWH.M,49785,"(""VSITCHTNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",151,0,,2014-08-07 04:57:11 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSITCHTNS@HAWH.M,49811," ""VSITCHTNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls""",151,0,,2014-08-07 04:57:11 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSITCHTNS@HAWH.M,49066,"(""VSITCHTNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",151,0,,2014-08-07 04:57:11 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSITCHTNS@HAWH.M,49855,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:Charter Seats:40:60"", :col=>14, :frequency=>""M"" })/1000",151,0,,2014-08-04 05:19:56 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSOTSCHNS@HAWH.M,49065,"(""VSOTSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",60,0,,2014-08-07 05:01:05 -1000,8a0645f14913976173c87b22582d198c8d5ae302,"",2007-01-01
VSAUSSCHNS@HAWH.M,49064,"(""VSAUSSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",60,0,,2014-08-07 04:55:08 -1000,8a0645f14913976173c87b22582d198c8d5ae302,"",2007-01-01
VSOTACHNS@HAWH.M,49063,"(""VSOTACHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",60,0,,2014-07-28 04:14:08 -1000,8a0645f14913976173c87b22582d198c8d5ae302,"",2007-01-01
VSCANSCHNS@HAWH.M,49802," (""VSCANSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",151,0,,2014-08-07 04:55:14 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSCANSCHNS@HAWH.M,49814," ""VSCANSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls""",151,0,,2014-08-07 04:55:14 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSCANSCHNS@HAWH.M,49062,"(""VSCANSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",151,0,,2014-08-07 04:55:14 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSCANSCHNS@HAWH.M,49859,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:Canada:1:90:sub"", :col=>14, :frequency=>""M"" })/1000",151,0,,2014-08-07 04:55:15 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSJPSCHNS@HAWH.M,49799," (""VSJPSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",151,0,,2014-08-07 04:57:42 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSJPSCHNS@HAWH.M,49813," ""VSJPSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls""",151,0,,2014-08-07 04:57:42 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSJPSCHNS@HAWH.M,49061,"(""VSJPSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",151,0,,2014-08-07 04:57:42 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSJPSCHNS@HAWH.M,49857,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:Japan:1:90:sub"", :col=>14, :frequency=>""M"" })/1000",151,0,,2014-08-07 04:57:43 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSITSCHNS@HAWH.M,49797," (""VSITSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",155,0,,2014-08-07 04:57:26 -1000,6d71baa7e27461bb3a56a97cf12b634962616310,"",2001-06-01
VSITSCHNS@HAWH.M,49812,"""VSITSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls"" ",155,0,,2014-08-07 04:57:26 -1000,6d71baa7e27461bb3a56a97cf12b634962616310,"",2001-06-01
VSITSCHNS@HAWH.M,49060,"(""VSITSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",155,0,,2014-08-07 04:57:26 -1000,6d71baa7e27461bb3a56a97cf12b634962616310,"",2001-06-01
VSITSCHNS@HAWH.M,49853,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:Scheduled Seats:40:60"", :col=>14, :frequency=>""M"" })/1000",155,0,,2014-08-04 05:20:12 -1000,6d71baa7e27461bb3a56a97cf12b634962616310,"",2001-06-01
VSITNS@HAWH.M,49781," (""VSITNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",156,0,,2014-08-07 04:56:55 -1000,82960d47a736fd369b6ec21868e75552ddbeb2d2,"",2001-06-01
VSITNS@HAWH.M,49810," ""VSITNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls""",156,0,,2014-08-07 04:56:54 -1000,82960d47a736fd369b6ec21868e75552ddbeb2d2,"",2001-06-01
VSITNS@HAWH.M,49059,"(""VSITNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",156,0,,2014-08-07 04:56:55 -1000,82960d47a736fd369b6ec21868e75552ddbeb2d2,"",2001-06-01
VSITNS@HAWH.M,49851,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:International Seats:1:90"", :col=>14, :frequency=>""M"" })/1000",156,0,,2014-08-04 05:19:39 -1000,82960d47a736fd369b6ec21868e75552ddbeb2d2,"",2001-06-01
VSDMCHTNS@HAWH.M,49767," (""VSDMCHTNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",151,0,,2014-08-07 04:56:17 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSDMCHTNS@HAWH.M,49058,"(""VSDMCHTNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",151,0,,2014-08-07 04:56:17 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSDMCHTNS@HAWH.M,49842,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:Charter seats:8:15"", :col=>14, :frequency=>""M"" })/1000",151,0,,2014-08-04 05:18:58 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSDMCHTNS@HAWH.M,49843,"    ""VSDMCHTNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls""",151,0,,2014-08-07 04:56:16 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSUSESCHNS@HAWH.M,49773," (""VSUSESCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",151,0,,2014-08-07 05:05:52 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSUSESCHNS@HAWH.M,49057,"(""VSUSESCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",151,0,,2014-08-07 05:05:52 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSUSESCHNS@HAWH.M,49848,"""VSUSESCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls""",151,0,,2014-08-07 05:05:52 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSUSESCHNS@HAWH.M,49849,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:US East:1:90:sub"", :col=>14, :frequency=>""M"" })/1000",151,0,,2014-08-07 05:05:53 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
VSUSWSCHNS@HAWH.M,49771," (""VSUSWSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",157,0,,2014-08-07 05:06:12 -1000,ddec71fea1cc9925b65ddd7bdc98201fd9109caa,"",2001-06-01
VSUSWSCHNS@HAWH.M,49056,"(""VSUSWSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",157,0,,2014-08-07 05:06:12 -1000,ddec71fea1cc9925b65ddd7bdc98201fd9109caa,"",2001-06-01
VSUSWSCHNS@HAWH.M,49845,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:US West:1:90:sub"", :col=>14, :frequency=>""M"" })/1000",157,0,,2014-08-07 05:06:13 -1000,ddec71fea1cc9925b65ddd7bdc98201fd9109caa,"",2001-06-01
VSUSWSCHNS@HAWH.M,49846,"""VSUSWSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls""",157,0,,2014-08-07 05:06:12 -1000,ddec71fea1cc9925b65ddd7bdc98201fd9109caa,"",2001-06-01
VSDMSCHNS@HAWH.M,49769," (""VSDMSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",156,0,,2014-08-07 04:56:37 -1000,fffb36f6330bca071675cf13e0dfcaa37103b214,"",2001-06-01
VSDMSCHNS@HAWH.M,49055,"(""VSDMSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",156,0,,2014-08-07 04:56:37 -1000,fffb36f6330bca071675cf13e0dfcaa37103b214,"",2001-06-01
VSDMSCHNS@HAWH.M,49839,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:Scheduled Seats:8:15"", :col=>14, :frequency=>""M"" })/1000",156,0,,2014-08-04 05:19:19 -1000,fffb36f6330bca071675cf13e0dfcaa37103b214,"",2001-06-01
VSDMSCHNS@HAWH.M,49840,"     ""VSDMSCHNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls""",156,0,,2014-08-07 04:56:36 -1000,fffb36f6330bca071675cf13e0dfcaa37103b214,"",2001-06-01
VSDMNS@HAWH.M,49765," (""VSDMNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",156,0,,2014-08-07 04:55:51 -1000,fffb36f6330bca071675cf13e0dfcaa37103b214,"",2001-06-01
VSDMNS@HAWH.M,49054,"(""VSDMNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_0711.csv"")/1000",156,0,,2014-08-07 04:55:51 -1000,fffb36f6330bca071675cf13e0dfcaa37103b214,"",2001-06-01
VSDMNS@HAWH.M,49836,"Series.load_from_download(  ""TOUR_%b%y@hawaiitourismauthority.org"", { :file_type=>""xls"", :start_date=>""2014-01-01"", :sheet=>""Seats"", :row=>""header_range:col:1:Domestic Seats:1:90"", :col=>14, :frequency=>""M"" })/1000",156,0,,2014-08-04 05:18:29 -1000,fffb36f6330bca071675cf13e0dfcaa37103b214,"",2001-06-01
VSDMNS@HAWH.M,49837,"   ""VSDMNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/History/tour_upd2_hist.xls""",156,0,,2014-08-07 04:55:50 -1000,fffb36f6330bca071675cf13e0dfcaa37103b214,"",2001-06-01
VSCHTNS@HAWH.M,49763," (""VSCHTNS@HAWH.M"".tsn.load_from ""/Volumes/UHEROwork/data/rawdata/manual/seats_1213.csv"")/1000",151,0,,2014-08-07 04:55:33 -1000,d0dd7dc860d33edbe4b75d06271517e5298912a5,"",2001-06-01
